질문번호	질문카테고리번호	질문유형번호	질문지
MBTI_SURVEY_SEQ.NEXTVAL	2	2	일반적으로 나는 모임에서 거의 모든 사람들과 오랫동안 이야기를 지속하는 것이 쉬운 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	1	대부분의 사람들은 나에 대해서 자신의 속마음을 잘 드러내지 않는 사람이라고 말할 것이다
MBTI_SURVEY_SEQ.NEXTVAL	2	2	나는 누구하고나 쉽게 이야기를 하는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	6	어떤 결정을 내릴 때, 나에게 중요한 것은 사람들의 감정과 의견을 고려하는 것이다
MBTI_SURVEY_SEQ.NEXTVAL	2	7	나는 대체로 그날의 상황에 따라 일을 처리하는 편이다
MBTI_SURVEY_SEQ.NEXTVAL	2	1	일정한 주제가 없는 대화를 지속하려면, 나는 오직 나와 관심분야가 비슷한 사람들과 가능하다
MBTI_SURVEY_SEQ.NEXTVAL	2	4	같은 그림, 음악, 글을 보더라도 이상하게 남과 다른 느낌을 곧잘 받는다
MBTI_SURVEY_SEQ.NEXTVAL	2	5	평소 잘 나서지 않지만 잘못된 일을 보면 나서서 바로잡을 것을 요구한다
MBTI_SURVEY_SEQ.NEXTVAL	2	5	꼭 맞지 않더라도 일단 한번 주장하면 웬만해서는 잘 포기하지 않는다
MBTI_SURVEY_SEQ.NEXTVAL	2	6	남의 이야기에 잘 집중하며 마치 내 이야기인 것처럼 감동하는 일이 많다
MBTI_SURVEY_SEQ.NEXTVAL	2	2	표정이나 몸짓으로 무얼 말하는지 금방 안다
MBTI_SURVEY_SEQ.NEXTVAL	2	5	고가 장비나 특이한 취미를 갖지만 좋아서 하는 거라 뽐내는 것은 사양한다
MBTI_SURVEY_SEQ.NEXTVAL	2	8	남들은 알아서 잘 지키는 관행을 무시한다고 버릇없단 말을 종종 듣는다
MBTI_SURVEY_SEQ.NEXTVAL	2	4	한 곳에 얽매이기 싫으며 새 영역을 개척하고 미지의 세계를 탐험하고 싶다
MBTI_SURVEY_SEQ.NEXTVAL	2	4	뭔가를 보고 들으며 강한 느낌이 올 때 그게 뭔지 알려고 골몰한 적이 있다
MBTI_SURVEY_SEQ.NEXTVAL	2	3	세심한 편이어서 새로운 일, 사람, 장소에 적응하려면 시간이 좀 걸린다
MBTI_SURVEY_SEQ.NEXTVAL	2	8	알지 못하면 선뜻 행동에 나서지 않는다
MBTI_SURVEY_SEQ.NEXTVAL	2	7	음악, 미술 혹은 영상에 몰입하다 보면 시간 가는 줄 모르고 지내기도 한다
MBTI_SURVEY_SEQ.NEXTVAL	2	8	변화보다 안정과 익숙함이 좋다
MBTI_SURVEY_SEQ.NEXTVAL	2	2	혼신을 다해 모험 난관을 돌파하며 몸과 마음이 한 단계 성장함을 경험한다
MBTI_SURVEY_SEQ.NEXTVAL	2	2	내가 발견하고 알게 된 것을 가르쳐주기를 좋아한다
